Generation	Durchschnitt_Fitness	Beste_Gen_Fitness	Beste_Gesamt_Fitness	Beste_HH_Kontakte	Beste_Überlappungen
0	4,79	9,00	9,00	15	3
1	5,57	9,00	9,00	15	3
2	6,13	9,00	9,00	15	3
3	6,66	9,00	9,00	15	3
4	6,95	9,00	9,00	15	3
5	7,12	9,00	9,00	15	3
6	7,33	9,00	9,00	15	3
7	7,42	9,00	9,00	15	3
8	7,50	9,00	9,00	15	3
9	7,52	9,00	9,00	15	3
10	7,63	9,00	9,00	15	3
11	7,77	9,00	9,00	15	3
12	7,94	9,00	9,00	15	3
13	8,00	9,00	9,00	15	3
14	8,11	9,00	9,00	15	3
15	8,20	9,00	9,00	15	3
16	8,27	9,00	9,00	15	3
17	8,33	9,00	9,00	15	3
18	8,29	9,00	9,00	15	3
19	8,28	9,00	9,00	15	3
20	8,33	9,00	9,00	15	3
21	8,31	9,00	9,00	15	3
22	8,42	9,00	9,00	15	3
23	8,38	9,00	9,00	15	3
24	8,41	9,00	9,00	15	3
25	8,39	9,00	9,00	15	3
26	8,43	9,00	9,00	15	3
27	8,42	9,00	9,00	15	3
28	8,49	9,00	9,00	15	3
29	8,49	9,00	9,00	15	3
30	8,58	9,00	9,00	15	3
31	8,57	9,00	9,00	15	3
32	8,65	9,00	9,00	15	3
33	8,75	9,00	9,00	15	3
34	8,82	9,00	9,00	15	3
35	8,77	9,00	9,00	15	3
36	8,75	9,00	9,00	15	3
37	8,78	9,00	9,00	15	3
38	8,77	9,00	9,00	15	3
39	8,77	9,00	9,00	15	3
40	8,80	9,00	9,00	15	3
41	8,85	9,00	9,00	15	3
42	8,89	9,00	9,00	15	3
43	8,90	9,00	9,00	15	3
44	8,88	9,00	9,00	15	3
45	8,87	9,00	9,00	15	3
46	8,86	9,00	9,00	15	3
47	8,89	9,00	9,00	15	3
48	8,87	9,00	9,00	15	3
49	8,89	9,00	9,00	15	3
50	8,93	9,00	9,00	15	3
51	8,96	9,00	9,00	15	3
52	8,95	9,00	9,00	15	3
53	8,93	9,00	9,00	15	3
54	8,96	9,00	9,00	15	3
55	8,98	9,00	9,00	15	3
56	9,00	9,00	9,00	15	3
57	9,00	9,00	9,00	15	3
58	9,00	9,00	9,00	15	3
59	9,00	9,00	9,00	15	3
60	9,00	9,00	9,00	15	3
61	9,00	9,00	9,00	15	3
62	9,00	9,00	9,00	15	3
63	9,00	9,00	9,00	15	3
64	9,00	9,00	9,00	15	3
65	9,00	9,00	9,00	15	3
66	9,00	9,00	9,00	15	3
67	9,00	9,00	9,00	15	3
68	9,00	9,00	9,00	15	3
69	9,00	9,00	9,00	15	3
70	9,00	9,00	9,00	15	3
71	9,00	9,00	9,00	15	3
72	9,00	9,00	9,00	15	3
73	9,00	9,00	9,00	15	3
74	9,00	9,00	9,00	15	3
75	9,00	9,00	9,00	15	3
76	9,00	9,00	9,00	15	3
77	9,00	9,00	9,00	15	3
78	9,00	9,00	9,00	15	3
79	9,00	9,00	9,00	15	3
80	9,00	9,00	9,00	15	3
81	9,00	9,00	9,00	15	3
82	9,00	9,00	9,00	15	3
83	9,00	9,00	9,00	15	3
84	9,00	9,00	9,00	15	3
85	9,00	9,00	9,00	15	3
86	9,00	9,00	9,00	15	3
87	9,00	9,00	9,00	15	3
88	9,00	9,00	9,00	15	3
89	9,00	9,00	9,00	15	3
90	9,00	9,00	9,00	15	3
91	9,00	9,00	9,00	15	3
92	9,00	9,00	9,00	15	3
93	9,00	9,00	9,00	15	3
94	9,00	9,00	9,00	15	3
95	9,00	9,00	9,00	15	3
96	9,00	9,00	9,00	15	3
97	9,00	9,00	9,00	15	3
98	9,00	9,00	9,00	15	3
99	9,00	9,00	9,00	15	3
