Generation;AvgFitness;BestGenFitness;BestEverFitness;BestEverHH;BestEverOverlaps
0;0,020677;0,404667;0,404667;1;1
1;0,107517;0,772547;0,772547;2;1
2;0,277584;1,140426;1,140426;3;1
3;0,339479;1,140426;1,140426;3;1
4;0,357647;2,244065;2,244065;6;1
5;0,351523;1,140426;2,244065;6;1
6;0,449933;2,100000;2,244065;6;1
7;0,587653;2,100000;2,244065;6;1
8;0,569572;2,100000;2,244065;6;1
9;0,750656;2,100000;2,244065;6;1
10;0,741367;2,100000;2,244065;6;1
11;0,722972;3,100000;3,100000;3;0
12;1,000776;3,100000;3,100000;3;0
13;1,086911;3,100000;3,100000;3;0
14;1,058498;3,100000;3,100000;3;0
15;1,092068;2,100000;3,100000;3;0
16;1,045649;2,100000;3,100000;3;0
17;1,035549;3,100000;3,100000;3;0
18;1,239404;3,100000;3,100000;3;0
19;1,309886;3,100000;3,100000;3;0
20;1,349616;3,100000;3,100000;3;0
21;1,473030;4,100000;4,100000;4;0
22;1,463270;3,100000;4,100000;4;0
23;1,438792;3,100000;4,100000;4;0
24;1,469987;4,100000;4,100000;4;0
25;1,531470;4,100000;4,100000;4;0
26;1,436584;4,100000;4,100000;4;0
27;1,552436;3,100000;4,100000;4;0
28;1,839702;5,100000;5,100000;5;0
29;1,971398;4,100000;5,100000;5;0
30;2,079900;6,100000;6,100000;6;0
31;1,947537;6,100000;6,100000;6;0
32;1,676775;6,100000;6,100000;6;0
33;1,753740;6,100000;6,100000;6;0
34;1,784400;6,100000;6,100000;6;0
35;2,005457;6,100000;6,100000;6;0
36;2,024150;6,100000;6,100000;6;0
37;1,855761;6,100000;6,100000;6;0
38;1,797865;6,100000;6,100000;6;0
39;2,131307;6,100000;6,100000;6;0
40;2,031026;6,100000;6,100000;6;0
41;2,415795;6,100000;6,100000;6;0
42;2,248359;6,100000;6,100000;6;0
43;2,438587;6,100000;6,100000;6;0
44;3,081503;6,100000;6,100000;6;0
45;2,547655;6,100000;6,100000;6;0
46;2,462805;6,100000;6,100000;6;0
47;2,584416;6,100000;6,100000;6;0
48;2,825711;6,100000;6,100000;6;0
49;2,639779;6,100000;6,100000;6;0
50;2,689684;6,100000;6,100000;6;0
51;2,522969;6,100000;6,100000;6;0
52;2,742754;6,100000;6,100000;6;0
53;2,941589;6,100000;6,100000;6;0
54;3,107790;6,100000;6,100000;6;0
55;2,871579;6,100000;6,100000;6;0
56;2,971345;6,100000;6,100000;6;0
57;2,814540;6,100000;6,100000;6;0
58;2,464405;6,100000;6,100000;6;0
59;2,672949;6,100000;6,100000;6;0
60;2,939015;6,100000;6,100000;6;0
61;2,656275;6,100000;6,100000;6;0
62;2,939579;6,100000;6,100000;6;0
63;2,982934;6,100000;6,100000;6;0
64;3,058509;6,100000;6,100000;6;0
65;2,512636;6,100000;6,100000;6;0
66;2,931517;6,100000;6,100000;6;0
67;2,706498;6,100000;6,100000;6;0
68;2,944290;6,100000;6,100000;6;0
69;3,310626;6,100000;6,100000;6;0
70;2,865153;6,100000;6,100000;6;0
71;2,877862;6,100000;6,100000;6;0
72;2,610052;6,100000;6,100000;6;0
73;2,704549;6,100000;6,100000;6;0
74;2,614684;6,100000;6,100000;6;0
75;2,497237;6,100000;6,100000;6;0
76;2,447199;7,100000;7,100000;7;0
77;3,105481;7,100000;7,100000;7;0
78;2,984408;7,100000;7,100000;7;0
79;3,066062;7,100000;7,100000;7;0
80;3,015728;7,100000;7,100000;7;0
81;3,515675;7,100000;7,100000;7;0
82;3,333061;7,100000;7,100000;7;0
83;2,892699;7,100000;7,100000;7;0
84;3,154772;7,100000;7,100000;7;0
85;3,263377;7,100000;7,100000;7;0
86;3,366649;7,100000;7,100000;7;0
87;3,361093;7,100000;7,100000;7;0
88;3,276531;7,100000;7,100000;7;0
89;3,051788;7,100000;7,100000;7;0
90;2,903890;7,100000;7,100000;7;0
91;3,222671;7,100000;7,100000;7;0
92;3,323496;7,100000;7,100000;7;0
93;3,397982;7,100000;7,100000;7;0
94;3,251650;7,100000;7,100000;7;0
95;3,761925;7,100000;7,100000;7;0
96;3,019278;7,100000;7,100000;7;0
97;3,359855;7,100000;7,100000;7;0
98;3,128689;7,100000;7,100000;7;0
99;3,360084;7,100000;7,100000;7;0
100;3,003709;7,100000;7,100000;7;0
