Generation;AvgFitness;BestGenFitness;BestEverFitness;BestEverHH;BestEverOverlaps;MutationRate
0;0,000232;0,008298;0,008298;9;7;0,150000
1;0,002443;0,075094;0,075094;4;4;0,149440
2;0,009771;0,154340;0,154340;3;3;0,148880
3;0,038359;1,876185;1,876185;5;1;0,148320
4;0,125191;2,100000;2,100000;2;0;0,147760
5;0,114158;2,100000;2,100000;2;0;0,147200
6;0,089718;2,100000;2,100000;2;0;0,146640
7;0,111223;2,100000;2,100000;2;0;0,146080
8;0,162526;2,100000;2,100000;2;0;0,145520
9;0,144760;2,100000;2,100000;2;0;0,144960
10;0,132559;1,876185;2,100000;2;0;0,144400
11;0,111038;2,244065;2,244065;6;1;0,143840
12;0,199866;5,100000;5,100000;5;0;0,143280
13;0,228836;5,100000;5,100000;5;0;0,142720
14;0,273426;5,100000;5,100000;5;0;0,142160
15;0,305069;5,100000;5,100000;5;0;0,141600
16;0,322136;5,100000;5,100000;5;0;0,141040
17;0,248701;3,100000;5,100000;5;0;0,140480
18;0,177614;2,244065;5,100000;5;0;0,139920
19;0,227611;3,100000;5,100000;5;0;0,139360
20;0,230361;3,100000;5,100000;5;0;0,138800
21;0,279257;3,100000;5,100000;5;0;0,138240
22;0,350074;3,100000;5,100000;5;0;0,137680
23;0,305821;5,100000;5,100000;5;0;0,137120
24;0,314969;5,100000;5,100000;5;0;0,136560
25;0,369200;4,100000;5,100000;5;0;0,136000
26;0,401525;4,100000;5,100000;5;0;0,135440
27;0,271569;2,100000;5,100000;5;0;0,134880
28;0,185560;3,100000;5,100000;5;0;0,134320
29;0,193385;2,100000;5,100000;5;0;0,133760
30;0,246052;4,100000;5,100000;5;0;0,133200
31;0,298730;3,100000;5,100000;5;0;0,132640
32;0,287365;4,100000;5,100000;5;0;0,132080
33;0,291367;5,100000;5,100000;5;0;0,131520
34;0,371313;5,100000;5,100000;5;0;0,130960
35;0,347455;5,100000;5,100000;5;0;0,130400
36;0,267172;4,100000;5,100000;5;0;0,129840
37;0,274242;4,100000;5,100000;5;0;0,129280
38;0,353704;4,100000;5,100000;5;0;0,128720
39;0,384174;4,100000;5,100000;5;0;0,128160
40;0,302422;4,100000;5,100000;5;0;0,127600
41;0,288694;3,100000;5,100000;5;0;0,127040
42;0,395286;3,100000;5,100000;5;0;0,126480
43;0,317898;3,100000;5,100000;5;0;0,125920
44;0,425000;3,100000;5,100000;5;0;0,125360
45;0,301898;3,100000;5,100000;5;0;0,124800
46;0,315494;4,100000;5,100000;5;0;0,124240
47;0,368788;3,100000;5,100000;5;0;0,123680
48;0,326796;3,100000;5,100000;5;0;0,123120
49;0,245610;5,100000;5,100000;5;0;0,122560
50;0,244107;4,100000;5,100000;5;0;0,122000
51;0,329764;4,100000;5,100000;5;0;0,121440
52;0,292861;4,100000;5,100000;5;0;0,120880
53;0,353511;4,100000;5,100000;5;0;0,120320
54;0,383263;4,100000;5,100000;5;0;0,119760
55;0,442870;5,100000;5,100000;5;0;0,119200
56;0,401536;4,100000;5,100000;5;0;0,118640
57;0,478328;4,100000;5,100000;5;0;0,118080
58;0,521919;5,100000;5,100000;5;0;0,117520
59;0,526092;4,100000;5,100000;5;0;0,116960
60;0,649316;5,100000;5,100000;5;0;0,116400
61;0,410685;4,100000;5,100000;5;0;0,115840
62;0,400535;4,100000;5,100000;5;0;0,115280
63;0,413408;4,100000;5,100000;5;0;0,114720
64;0,460460;4,100000;5,100000;5;0;0,114160
65;0,613898;4,100000;5,100000;5;0;0,113600
66;0,530156;5,100000;5,100000;5;0;0,113040
67;0,513599;6,100000;6,100000;6;0;0,112480
68;0,568255;6,100000;6,100000;6;0;0,111920
69;0,637302;6,100000;6,100000;6;0;0,111360
70;0,630719;6,100000;6,100000;6;0;0,110800
71;0,669230;6,100000;6,100000;6;0;0,110240
72;0,675504;6,100000;6,100000;6;0;0,109680
73;0,753353;7,100000;7,100000;7;0;0,109120
74;0,610565;7,100000;7,100000;7;0;0,108560
75;0,736824;7,100000;7,100000;7;0;0,108000
76;0,950637;7,100000;7,100000;7;0;0,107440
77;0,740803;6,100000;7,100000;7;0;0,106880
78;0,817264;6,100000;7,100000;7;0;0,106320
79;0,800048;6,100000;7,100000;7;0;0,105760
80;0,852501;6,100000;7,100000;7;0;0,105200
81;0,828107;6,100000;7,100000;7;0;0,104640
82;0,886039;6,100000;7,100000;7;0;0,104080
83;0,772624;6,100000;7,100000;7;0;0,103520
84;0,728427;7,100000;7,100000;7;0;0,102960
85;0,696989;7,100000;7,100000;7;0;0,102400
86;0,754946;7,100000;7,100000;7;0;0,101840
87;0,754738;7,100000;7,100000;7;0;0,101280
88;0,713704;7,100000;7,100000;7;0;0,100720
89;0,811722;7,100000;7,100000;7;0;0,100160
90;0,892569;7,100000;7,100000;7;0;0,099600
91;0,928572;7,100000;7,100000;7;0;0,099040
92;0,926070;7,100000;7,100000;7;0;0,098480
93;0,928864;7,100000;7,100000;7;0;0,097920
94;1,037560;7,100000;7,100000;7;0;0,097360
95;0,918142;6,100000;7,100000;7;0;0,096800
96;0,937353;7,100000;7,100000;7;0;0,096240
97;1,013733;7,100000;7,100000;7;0;0,095680
98;0,995499;7,100000;7,100000;7;0;0,095120
99;1,154245;7,100000;7,100000;7;0;0,094560
100;1,239301;8,100000;8,100000;8;0;0,094000
101;0,816608;8,100000;8,100000;8;0;0,093440
102;0,984133;8,100000;8,100000;8;0;0,092880
103;1,057254;8,100000;8,100000;8;0;0,092320
104;1,172388;8,100000;8,100000;8;0;0,091760
105;1,153548;8,100000;8,100000;8;0;0,091200
106;1,284223;7,100000;8,100000;8;0;0,090640
107;0,936401;6,100000;8,100000;8;0;0,090080
108;0,909053;7,100000;8,100000;8;0;0,089520
109;1,227010;7,100000;8,100000;8;0;0,088960
110;0,997622;6,100000;8,100000;8;0;0,088400
111;1,007626;7,100000;8,100000;8;0;0,087840
112;0,886510;7,100000;8,100000;8;0;0,087280
113;0,915451;7,100000;8,100000;8;0;0,086720
114;0,846008;6,100000;8,100000;8;0;0,086160
115;0,948078;7,100000;8,100000;8;0;0,085600
116;1,251469;8,100000;8,100000;8;0;0,085040
117;1,052097;8,100000;8,100000;8;0;0,084480
118;1,143222;8,100000;8,100000;8;0;0,083920
119;1,092247;8,100000;8,100000;8;0;0,083360
120;1,200378;9,100000;9,100000;9;0;0,082800
121;1,227966;9,100000;9,100000;9;0;0,082240
122;1,246207;9,100000;9,100000;9;0;0,081680
123;1,328610;8,100000;9,100000;9;0;0,081120
124;1,238882;8,100000;9,100000;9;0;0,080560
125;1,247906;8,100000;9,100000;9;0;0,080000
126;1,248013;8,100000;9,100000;9;0;0,079440
127;0,945834;7,100000;9,100000;9;0;0,078880
128;1,143236;8,100000;9,100000;9;0;0,078320
129;1,192419;7,100000;9,100000;9;0;0,077760
